dataset,percent-heldout,seed,transfer,raw,target_only
log_GDSC_CTD2,40,6,0.7934196569145523,0.49705149816043026,0.7845709006104234
log_GDSC_CTD2,40,7,0.7938868905369841,0.49001220670487805,0.7878787756167402
log_GDSC_CTD2,40,8,0.7949049701208034,0.4928472531345982,0.7849882806815673
log_GDSC_CTD2,40,9,0.7842035251285749,0.4929074563687092,0.7839796970087839
log_GDSC_CTD2,60,0,0.7660709165119429,0.48946437578536456,0.7513407496221521
log_GDSC_CTD2,60,1,0.7555142748214424,0.49152826744158884,0.7496522034731972
log_GDSC_CTD2,60,2,0.7640309360531944,0.49410582255936847,0.7338709038154926
log_GDSC_CTD2,60,3,0.7508396350709394,0.4988282833251699,0.7377292225801508
log_GDSC_CTD2,60,4,0.7715500556954438,0.4946347541988067,0.7536089879494311
log_GDSC_CTD2,60,5,0.7655137380932704,0.4933265305667093,0.740517364985925
log_GDSC_CTD2,60,6,0.7786549528953065,0.4923200124481803,0.7486447867906597
log_GDSC_CTD2,60,7,0.7714350035441988,0.4812866663332515,0.7524482904150266
log_GDSC_CTD2,60,8,0.7679922157642795,0.48989768030994674,0.7458294088192832
log_GDSC_CTD2,60,9,0.7692171810564048,0.48881832488246907,0.7543100608868498
log_GDSC_CTD2,80,0,0.72425074004083,0.48869563080069983,0.6786909787225
log_GDSC_CTD2,80,1,0.7256383943634607,0.49515411141915444,0.6757969488733286
log_GDSC_CTD2,80,2,0.7219184736807112,0.4910979285005654,0.6763052041452264
log_GDSC_CTD2,80,3,0.7148424916199463,0.4927259168605171,0.6405102068732721
log_GDSC_CTD2,80,4,0.7090019529194311,0.49405704216262447,0.6871100545151092
log_GDSC_CTD2,80,5,0.7228659176534117,0.4939164152293054,0.6752700079872306
log_GDSC_CTD2,80,6,0.7072361188984256,0.4907802073193055,0.6494885748809391
log_GDSC_CTD2,80,7,0.7269252173645102,0.4894440968863636,0.6875246756259895
log_GDSC_CTD2,80,8,0.7294422915177023,0.49118402443490916,0.6654612384507815
