Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-12,153.53,408.88,29.0,2.663192861330033,2.4062558244288175,0.2569370369012156,129.77374999999998,3.150714223793333,2.3092015912308925,0.8415126325624405,1.1476291648486008,0.8084980022505283,0.3391311625980725,1.4131569084619602,1.2440642348186988,0.16909267364326142
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-32,104.04,289.35,29.0,2.781141868512111,2.4062558244288175,0.3748860440832935,129.77374999999998,2.2296496787678564,2.3092015912308925,-0.07955191246303617,0.8018444784084245,0.8084980022505283,-0.006653523842103715,1.475677339714631,1.2440642348186988,0.23161310489593223
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-35,132.34,295.18,29.0,2.2304669789935017,2.4062558244288175,-0.1757888454353158,129.77374999999998,2.2745740182432894,2.3092015912308925,-0.034627572987603106,0.8217927901422065,0.8084980022505283,0.013294787891678261,1.157345789853269,1.2440642348186988,-0.08671844496542969
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-39,177.43,392.82,29.0,2.213943527024742,2.4062558244288175,-0.1923122974040754,129.77374999999998,3.0269603829742153,2.3092015912308925,0.7177587917433228,1.1075589420696317,0.8084980022505283,0.2990609398191034,1.1466184225167348,1.2440642348186988,-0.09744581230196392
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-47,95.46,174.83,29.0,1.8314477267965643,2.4062558244288175,-0.5748080976322532,129.77374999999998,1.347190783960547,2.3092015912308925,-0.9620108072703455,0.2980215235981342,0.8084980022505283,-0.5104764786523941,0.8729845242145883,1.2440642348186988,-0.3710797106041105
TM00203_1,Group 3 IV Cisplatin,Cisplatin,0.0,801-50,113.06,278.07,29.0,2.459490535998585,2.4062558244288175,0.053234711569767335,129.77374999999998,2.1427291728874294,2.3092015912308925,-0.16647241834346316,0.7620803309444276,0.8084980022505283,-0.04641767130610064,1.2983595036507196,1.2440642348186988,0.05429526883202085
TM00203_1,Group 1 IV D5W,D5W,1.0,801-02,98.26,221.38,29.0,2.2530022389578668,2.1829899220664744,0.07001231689139242,129.77374999999998,1.7058919850894347,2.1986245292287543,-0.49273254413931955,0.5340881323460546,0.6835338351377,-0.14944570279164548,1.1718487472758736,1.0398396992214245,0.13200904805444913
TM00203_1,Group 1 IV D5W,D5W,1.0,801-15,120.56,265.49,29.0,2.2021400132714,2.1829899220664744,0.019150091204925612,129.77374999999998,2.045791232818656,2.1986245292287543,-0.15283329641009846,0.7157846255778069,0.6835338351377,0.032250790440106814,1.138906199161432,1.0398396992214245,0.09906649994000749
TM00203_1,Group 1 IV D5W,D5W,1.0,801-22,209.48,539.24,29.0,2.5741836929539814,2.1829899220664744,0.39119377088750706,129.77374999999998,4.155231701326348,2.1986245292287543,1.9566071720975935,1.42436819121144,0.6835338351377,0.74083435607374,1.3641150075049668,1.0398396992214245,0.32427530828354234
TM00203_1,Group 1 IV D5W,D5W,1.0,801-23,119.26,212.0,29.0,1.7776287103806807,2.1829899220664744,-0.40536121168579364,129.77374999999998,1.6336123445612079,2.1986245292287543,-0.5650121846675464,0.49079372506058916,0.6835338351377,-0.1927401100771109,0.8299540229137535,1.0398396992214245,-0.20988567630767097
