Study,Group,Drug,Control,MID,Day,Size
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,1.0,89.71
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,6.0,123.8
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,9.0,190.48
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,13.0,262.41
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,16.0,283.71
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,20.0,556.24
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,23.0,352.54
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-50,27.0,449.38
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,1.0,78.8
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,2.0,171.84
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,6.0,266.12
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,9.0,437.44
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,13.0,361.03
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,16.0,436.91
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,20.0,516.96
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,23.0,753.16
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-51,27.0,877.75
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,1.0,102.63
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,6.0,250.94
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,9.0,376.3
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,13.0,755.11
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,16.0,773.73
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,20.0,810.0
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,23.0,851.45
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-59,27.0,982.07
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,1.0,180.12
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,6.0,291.71
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,9.0,376.39
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,13.0,623.74
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,16.0,839.28
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,20.0,1304.56
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,23.0,790.49
TM00091,Group 3 IV Cisplatin,Cisplatin,0.0,901-67,27.0,908.79
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,-1.0,121.94
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,1.0,115.31
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,4.0,109.85
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,8.0,81.57
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,11.0,86.44
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,15.0,41.86
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_07,18.0,10.13
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,-1.0,208.22
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,1.0,227.1
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,4.0,216.59
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,8.0,197.02
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,11.0,172.35
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,15.0,68.26
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,18.0,58.72
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_12,22.0,32.6
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,-1.0,342.31
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,1.0,206.94
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,4.0,245.42
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,8.0,261.16
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,11.0,154.54
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,15.0,90.25
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,18.0,48.61
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_28,22.0,21.84
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,-1.0,192.5
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,1.0,190.01
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,4.0,221.79
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,8.0,170.8
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,11.0,119.57
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,15.0,80.05
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,18.0,49.68
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_35,22.0,16.82
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,-1.0,111.02
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,1.0,103.6
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,4.0,137.96
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,8.0,124.11
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,11.0,70.62
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,15.0,35.6
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_43,18.0,18.07
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,-1.0,74.62
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,1.0,92.01
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,4.0,84.39
