Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
4,Vehicle,,M3,HCI-027,306.377451,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M3,HCI-027,446.000768,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M3,HCI-027,533.7610235,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M3,HCI-027,595.3558315,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M3,HCI-027,861.754016,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M3,HCI-027,808.3512,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M4,HCI-027,106.1705,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Vehicle,,M4,HCI-027,105.026064,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M4,HCI-027,177.897976,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M4,HCI-027,301.0713795,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M4,HCI-027,253.6773075,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M4,HCI-027,277.85835,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M4,HCI-027,336.093552,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Vehicle,,M5,HCI-027,256,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
4,Vehicle,,M5,HCI-027,277.4672,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
8,Vehicle,,M5,HCI-027,465.1468875,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
11,Vehicle,,M5,HCI-027,611.44947,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
15,Vehicle,,M5,HCI-027,615.171,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
18,Vehicle,,M5,HCI-027,742.503353,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
22,Vehicle,,M5,HCI-027,938.1346875,43018_2022_337_MOESM7_ESM.xlsx,6d mid right
1,Navitoclax,,M0,HCI-002,267.385952,43018_2022_337_MOESM7_ESM.xlsx,6d right
4,Navitoclax,,M0,HCI-002,330.8071095,43018_2022_337_MOESM7_ESM.xlsx,6d right
8,Navitoclax,,M0,HCI-002,466.3990375,43018_2022_337_MOESM7_ESM.xlsx,6d right
11,Navitoclax,,M0,HCI-002,665.3637315,43018_2022_337_MOESM7_ESM.xlsx,6d right
15,Navitoclax,,M0,HCI-002,767.000047,43018_2022_337_MOESM7_ESM.xlsx,6d right
18,Navitoclax,,M0,HCI-002,765.797104,43018_2022_337_MOESM7_ESM.xlsx,6d right
22,Navitoclax,,M0,HCI-002,928.08,43018_2022_337_MOESM7_ESM.xlsx,6d right
1,Navitoclax,,M1,HCI-002,180.002988,43018_2022_337_MOESM7_ESM.xlsx,6d right
4,Navitoclax,,M1,HCI-002,225.416594,43018_2022_337_MOESM7_ESM.xlsx,6d right
8,Navitoclax,,M1,HCI-002,376.1999425,43018_2022_337_MOESM7_ESM.xlsx,6d right
11,Navitoclax,,M1,HCI-002,498.9726,43018_2022_337_MOESM7_ESM.xlsx,6d right
15,Navitoclax,,M1,HCI-002,662.2694245,43018_2022_337_MOESM7_ESM.xlsx,6d right
