MID,Sample,Drug,start_vol,end_vol,duration,V_V0,log(V_V0+1)
108,HCI-015,Birinapant,104.284,4.0,32.0,0.038356794906217635,0.054302260453437536
109,HCI-001,Birinapant,71.656,2409.026,35.0,33.61932008484983,5.113505485685279
110,HCI-001,Birinapant,97.47,2228.122,35.0,22.859567046270644,4.576495959133186
111,HCI-001,Birinapant,96.8,1324.224,35.0,13.68,3.875780063068488
112,HCI-001,Birinapant,90.944,1986.336,35.0,21.84130893736805,4.513573422617046
113,HCI-001,Birinapant,102.602,1059.174,35.0,10.323132102688056,3.5012011735519675
114,HCI-002,Birinapant,144.0,5233.0,25.0,36.34027777777778,5.222660754833155
115,HCI-002,Birinapant,157.0,3938.0,23.0,25.0828025477707,4.705026987636744
116,HCI-002,Birinapant,172.0,4182.0,28.0,24.313953488372093,4.661860937486109
117,HCI-002,Birinapant,155.0,3199.0,32.0,20.638709677419357,4.435542568290109
118,HCI-002,Birinapant,176.0,2833.0,21.0,16.09659090909091,4.095636772696039
119,HCI-019,Birinapant,98.784,1780.7755,31.0,18.026962868480723,4.249973388277115
120,HCI-019,Birinapant,78.732,998.3505,31.0,12.680365035817712,3.774034821334692
121,HCI-019,Birinapant,86.528,2168.496,31.0,25.061205621301774,4.703831921066649
122,HCI-019,Birinapant,94.221,780.275,31.0,8.281327941753961,3.214331236163435
123,HCI-019,Birinapant,87.725,491.8625,28.0,5.606868053576518,2.7239665327957625
124,HCI-012,Birinapant,84.27,567.018,35.0,6.728586685653258,2.95020461492366
125,HCI-012,Birinapant,97.47,427.734,35.0,4.388365650969529,2.4298477544641646
126,HCI-012,Birinapant,100.92,180.336,35.0,1.7869203329369798,1.4786717620687406
127,HCI-012,Birinapant,104.284,143.748,35.0,1.378428138544743,1.2500084365968518
128,HCI-012,Birinapant,84.7,124.93,35.0,1.474970484061393,1.3074113200398558
129,HCI-023,Birinapant,127.0,18.0,32.0,0.14173228346456693,0.19122440324276857
130,HCI-023,Birinapant,124.6535,28.749,32.0,0.23063130999129589,0.2993986034816789
131,HCI-023,Birinapant,138.384,0.5,32.0,0.0036131344664123025,0.005203256793922613
132,HCI-023,Birinapant,171.0,0.0,32.0,0.0,0.0
133,HCI-023,Birinapant,127.008,26.568,32.0,0.20918367346938777,0.2740334047830508
134,HCI-027,Vehicle,71.5275,1104.417,31.0,15.440452972632901,4.039178144051017
135,HCI-027,Vehicle,77.2475,742.5625,31.0,9.61277063982653,3.4077294397853044
136,HCI-027,Vehicle,94.08,1468.396,31.0,15.60795068027211,4.053802159409155
137,HCI-027,Vehicle,75.429,530.452,31.0,7.032467618555198,3.005843259743498
138,HCI-027,Vehicle,74.1285,918.984,31.0,12.397175175539772,3.7438569321480677
139,HCI-015,Vehicle,74.1285,561.816,32.0,7.578947368421053,3.100800640787492
140,HCI-015,Vehicle,54.208,374.166,32.0,6.90241292798111,2.9822932340131136
141,HCI-015,Vehicle,128.3745,845.64,32.0,6.587289531799539,2.9235845921735293
142,HCI-015,Vehicle,70.0,450.636,32.0,6.437657142857144,2.894848244897959
143,HCI-015,Vehicle,78.416,1127.1105,32.0,14.373476076310958,3.942371502665207
144,HCI-001,Vehicle,90.75,3590.752,31.0,39.56751515151515,5.342253031930562
145,HCI-001,Vehicle,92.5965,3500.288,31.0,37.80151517605957,5.2780410847819015
146,HCI-001,Vehicle,92.697,2563.496,31.0,27.654573502918108,4.840693518106563
