Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
22.0,Vehicle,,M3,HCI-002,1347.521759,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M4,HCI-002,242.764478,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M4,HCI-002,220.21875,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M4,HCI-002,402.711745,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M4,HCI-002,379.3671875,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M4,HCI-002,624.581504,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M4,HCI-002,753.2554,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Vehicle,,M4,HCI-002,875.691675,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Vehicle,,M5,HCI-002,202.335246,43018_2022_337_MOESM7_ESM.xlsx,6d right
4.0,Vehicle,,M5,HCI-002,219.950318,43018_2022_337_MOESM7_ESM.xlsx,6d right
8.0,Vehicle,,M5,HCI-002,337.6952685,43018_2022_337_MOESM7_ESM.xlsx,6d right
11.0,Vehicle,,M5,HCI-002,394.30672,43018_2022_337_MOESM7_ESM.xlsx,6d right
15.0,Vehicle,,M5,HCI-002,584.828332,43018_2022_337_MOESM7_ESM.xlsx,6d right
18.0,Vehicle,,M5,HCI-002,614.247449,43018_2022_337_MOESM7_ESM.xlsx,6d right
22.0,Vehicle,,M5,HCI-002,863.09145,43018_2022_337_MOESM7_ESM.xlsx,6d right
1.0,Docetaxel,,M0,HCI-023,305.96859,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Docetaxel,,M0,HCI-023,275.736132,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Docetaxel,,M0,HCI-023,247.9491465,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Docetaxel,,M0,HCI-023,168.763534,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Docetaxel,,M0,HCI-023,116.2456595,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Docetaxel,,M0,HCI-023,67.108864,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Docetaxel,,M0,HCI-023,45.08334,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Docetaxel,,M1,HCI-023,235.9296,43018_2022_337_MOESM7_ESM.xlsx,6f top left
