MID,Sample,Drug,log(V_V0+1),log(V_V0+1)_cen
234,HCI-003,Fulvestrant (200 mg/kg),0.579485798718202,0.0
238,HCI-003,Vehicle,1.8669104857265288,-0.5346388404453799
239,HCI-003,Vehicle,2.9361881666172884,0.5346388404453797
241,HCI-011,Fulvestrant (40 mg/kg),1.8575498152959025,-0.4264217690885541
242,HCI-011,Fulvestrant (40 mg/kg),2.0958148468362237,-0.18815673754823292
243,HCI-011,Fulvestrant (40 mg/kg),3.072334232108574,0.7883626477241172
244,HCI-011,Fulvestrant (40 mg/kg),2.6387595060278395,0.3547879216433829
245,HCI-011,Fulvestrant (40 mg/kg),1.755399521653744,-0.5285720627307127
246,HCI-011,Fulvestrant (200 mg/kg),1.5174499142254496,0.4267211847928749
247,HCI-011,Fulvestrant (200 mg/kg),1.0704556512712424,-0.02027307816133228
248,HCI-011,Fulvestrant (200 mg/kg),1.071773519349549,-0.018955210083025698
249,HCI-011,Fulvestrant (200 mg/kg),0.6910113947449846,-0.3997173346875901
250,HCI-011,Fulvestrant (200 mg/kg),1.1029531675716475,0.012224438139072813
251,HCI-011,Vehicle,4.982720841804346,0.6513861078638072
252,HCI-011,Vehicle,3.9334932149831983,-0.3978415189573403
253,HCI-011,Vehicle,4.091394995370219,-0.23993973857031925
254,HCI-011,Vehicle,4.3177298836043905,-0.013604850336148111
255,HCI-017,Fulvestrant (40 mg/kg),0.7354288606700838,-0.45664611035507163
256,HCI-017,Fulvestrant (40 mg/kg),1.648721081380227,0.45664611035507163
257,HCI-017,Fulvestrant (200 mg/kg),0.011340217490483974,-0.05432271172483159
258,HCI-017,Fulvestrant (200 mg/kg),0.008865058254759887,-0.05679787096055568
259,HCI-017,Fulvestrant (200 mg/kg),0.017973709338523405,-0.04768921987679216
260,HCI-017,Fulvestrant (200 mg/kg),0.224472731777495,0.15880980256217941
261,HCI-017,Vehicle,2.7595312193712096,0.38840241987294544
262,HCI-017,Vehicle,2.050113725645231,-0.3210150738530331
263,HCI-017,Vehicle,2.303741453478352,-0.06738734601991236
